in:name,in:building width,in:building length,in:core width,in:core length,in:floor to floor,in:length shift,in:width shift,in:concrete or steel,in:glass performance,in:glazing ratio %,out:floor area,out:ECe Steel,out:EE Steel,out:ECe Concrete,out:EE Concrete,out:ECe Glazing,out:EE Glazing,out:Daylight Factor %,out:Total Cooling kwh,out:Total Heating kwh,out: Steel ECe/m2,out: Steel EE/m2,out:Concrete ECe/m2,out:Concrete EE/m2,out:Glazing ECe/m2,out:Glazing EE/m2,out:Total Ece,out: Total EE,:img,:threed
7.3-19.2-2.5-4.8-6.3-1.0--0.9-0.0-0.0-0.3,7.3,19.2,2.5,4.8,6.3,1,-0.9,0,0,30,4669.4,1415600,17754000,1321600,8483200,830862,16289660,98.8,240262,263062,303.2,3802.2,283.0,1816.8,177.9,3488.6,3568062,42526860,7.3-19.2-2.5-4.8-6.3-1.0--0.9-0.0-0.0-0.3_0__Perspective.png,7.3-19.2-2.5-4.8-6.3-1.0--0.9-0.0-0.0-0.3.json
8.6-15.2-3.4-4.3-5.7-1.1--0.4-0.0-0.0-0.0,8.6,15.2,3.4,4.3,5.7,1.1,-0.4,0,0,0,4077.6,1288300,16157000,1202800,7720500,736002,14429860,90.9,205322,234511,315.9,3962.4,295.0,1893.4,180.5,3538.8,3227102,38307360,8.6-15.2-3.4-4.3-5.7-1.1--0.4-0.0-0.0-0.0_0__Perspective.png,8.6-15.2-3.4-4.3-5.7-1.1--0.4-0.0-0.0-0.0.json
8.1-18.7-2.9-3.5-5.1--0.8--0.2-0.0-2.0-0.9,8.1,18.7,2.9,3.5,5.1,-0.8,-0.2,0,2,90,4763.7,1572700,19724000,1468300,9424800,982980,19291950,50.9,206963,280849,330.1,4140.5,308.2,1978.5,206.3,4049.8,4023980,48440750,8.1-18.7-2.9-3.5-5.1--0.8--0.2-0.0-2.0-0.9_0__Perspective.png,8.1-18.7-2.9-3.5-5.1--0.8--0.2-0.0-2.0-0.9.json
8.2-15.3-3.0-5.2-4.2-1.7--0.4-1.0-0.0-0.2,8.2,15.3,3,5.2,4.2,1.7,-0.4,1,0,20,3980.6,1535000,19251000,353735.2,2270600,498015,9763950,51.2,168558,209426,385.6,4836.2,88.9,570.4,125.1,2452.9,2386750,31285550,8.2-15.3-3.0-5.2-4.2-1.7--0.4-1.0-0.0-0.2_0__Perspective.png,8.2-15.3-3.0-5.2-4.2-1.7--0.4-1.0-0.0-0.2.json
7.1-19.9-2.5-5.8-6.0-1.7-0.6-1.0-1.0-0.4,7.1,19.9,2.5,5.8,6,1.7,0.6,1,1,40,4609,1732900,21733000,503564.6,3232300,859795,16857620,97.6,217751,287323,376.0,4715.3,109.3,701.3,186.5,3657.5,3096260,41822920,7.1-19.9-2.5-5.8-6.0-1.7-0.6-1.0-1.0-0.4_0__Perspective.png,7.1-19.9-2.5-5.8-6.0-1.7-0.6-1.0-1.0-0.4.json
7.0-19.4-3.4-5.2-5.0-1.7-0.7-1.0-1.0-0.6,7,19.4,3.4,5.2,5,1.7,0.7,1,1,60,4362.8,1610700,20200000,486160.2,3120700,658190,12904840,66.9,190983,259001,369.2,4630.1,111.4,715.3,150.9,2957.9,2755050,36225540,7.0-19.4-3.4-5.2-5.0-1.7-0.7-1.0-1.0-0.6_0__Perspective.png,7.0-19.4-3.4-5.2-5.0-1.7-0.7-1.0-1.0-0.6.json
7.9-16.5-2.8-5.7-5.9--1.3-0.3-1.0-2.0-0.7,7.9,16.5,2.8,5.7,5.9,-1.3,0.3,1,2,70,4016.4,2286900,28680000,567731.7,3644200,1099820,21585050,75.9,191386,260673,569.4,7140.7,141.4,907.3,273.8,5374.2,3954452,53909250,7.9-16.5-2.8-5.7-5.9--1.3-0.3-1.0-2.0-0.7_0__Perspective.png,7.9-16.5-2.8-5.7-5.9--1.3-0.3-1.0-2.0-0.7.json
8.1-16.9-2.9-4.6-6.4-1.2--0.3-1.0-1.0-0.1,8.1,16.9,2.9,4.6,6.4,1.2,-0.3,1,1,10,4299.9,2224500,27898000,415361,2666200,918050,17999800,98.6,212187,281903,517.3,6488.1,96.6,620.1,213.5,4186.1,3557911,48564000,8.1-16.9-2.9-4.6-6.4-1.2--0.3-1.0-1.0-0.1_0__Perspective.png,8.1-16.9-2.9-4.6-6.4-1.2--0.3-1.0-1.0-0.1.json
7.5-18.3-2.5-4.9-6.3--1.6--0.4-0.0-0.0-0.6,7.5,18.3,2.5,4.9,6.3,-1.6,-0.4,0,0,60,4448.3,1473700,18482000,1375900,8831500,727911,14271230,94.3,232074,257779,331.3,4154.8,309.3,1985.4,163.6,3208.2,3577511,41584730,7.5-18.3-2.5-4.9-6.3--1.6--0.4-0.0-0.0-0.6_0__Perspective.png,7.5-18.3-2.5-4.9-6.3--1.6--0.4-0.0-0.0-0.6.json
8.7-18.4-2.7-3.0-6.4-0.0-0.1-0.0-2.0-0.8,8.7,18.4,2.7,3,6.4,0,0.1,0,2,80,4907.5,1745300,21888000,1629400,10459000,1273048,24984820,72.8,236377,317946,355.6,4460.1,332.0,2131.2,259.4,5091.2,4647748,57331820,8.7-18.4-2.7-3.0-6.4-0.0-0.1-0.0-2.0-0.8_0__Perspective.png,8.7-18.4-2.7-3.0-6.4-0.0-0.1-0.0-2.0-0.8.json
8.2-19.3-2.6-3.4-4.3-1.2--0.7-0.0-1.0-0.9,8.2,19.3,2.6,3.4,4.3,1.2,-0.7,0,1,90,5321.7,1651300,20710000,1541700,9895600,513010,10058360,36,199284,276747,310.3,3891.6,289.7,1859.5,96.4,1890.1,3706010,40663960,8.2-19.3-2.6-3.4-4.3-1.2--0.7-0.0-1.0-0.9_0__Perspective.png,8.2-19.3-2.6-3.4-4.3-1.2--0.7-0.0-1.0-0.9.json
6.4-18.9-3.2-5.4-5.7-1.2-0.8-0.0-0.0-0.8,6.4,18.9,3.2,5.4,5.7,1.2,0.8,0,0,80,3841.9,1247900,15650000,1165000,7478100,624123,12236390,91.7,203044,228377,324.8,4073.5,303.2,1946.5,162.5,3185.0,3037023,35364490,6.4-18.9-3.2-5.4-5.7-1.2-0.8-0.0-0.0-0.8_0__Perspective.png,6.4-18.9-3.2-5.4-5.7-1.2-0.8-0.0-0.0-0.8.json
7.5-16.6-2.7-5.1-4.6--0.2-0.2-0.0-1.0-0.4,7.5,16.6,2.7,5.1,4.6,-0.2,0.2,0,1,40,3658.1,1122500,14078000,1048000,6726900,575535,11284260,63.1,171686,229753,306.9,3848.4,286.5,1838.9,157.3,3084.7,2746035,32089160,7.5-16.6-2.7-5.1-4.6--0.2-0.2-0.0-1.0-0.4_0__Perspective.png,7.5-16.6-2.7-5.1-4.6--0.2-0.2-0.0-1.0-0.4.json
8.9-18.7-2.7-3.0-4.0-1.6-0.7-1.0-1.0-0.1,8.9,18.7,2.7,3,4,1.6,0.7,1,1,10,5695.6,1913300,23995000,352706.5,2264000,633485,12420460,35,199401,284173,335.9,4212.9,61.9,397.5,111.2,2180.7,2899492,38679460,8.9-18.7-2.7-3.0-4.0-1.6-0.7-1.0-1.0-0.1_0__Perspective.png,8.9-18.7-2.7-3.0-4.0-1.6-0.7-1.0-1.0-0.1.json
8.2-16.3-3.4-3.0-6.0--0.3-0.7-0.0-2.0-0.1,8.2,16.3,3.4,3,6,-0.3,0.7,0,2,10,4278.6,1311200,16444000,1224100,7857700,1403604,27547110,92.9,201392,268606,306.5,3843.3,286.1,1836.5,328.1,6438.3,3938904,51848810,8.2-16.3-3.4-3.0-6.0--0.3-0.7-0.0-2.0-0.1_0__Perspective.png,8.2-16.3-3.4-3.0-6.0--0.3-0.7-0.0-2.0-0.1.json
7.0-19.9-3.0-3.3-5.6--0.3-0.2-0.0-1.0-0.6,7,19.9,3,3.3,5.6,-0.3,0.2,0,1,60,4285.3,1290900,16189000,1205100,7735700,753960,14782560,87.8,212845,275430,301.2,3777.8,281.2,1805.2,175.9,3449.6,3249960,38707260,7.0-19.9-3.0-3.3-5.6--0.3-0.2-0.0-1.0-0.6_0__Perspective.png,7.0-19.9-3.0-3.3-5.6--0.3-0.2-0.0-1.0-0.6.json
8.6-19.3-2.7-3.4-5.8-1.1-0.6-0.0-2.0-0.7,8.6,19.3,2.7,3.4,5.8,1.1,0.6,0,2,70,5506.7,1826200,22903000,1705000,10944000,1253744,24605960,60.5,233157,317966,331.6,4159.1,309.6,1987.4,227.7,4468.4,4784944,58452960,8.6-19.3-2.7-3.4-5.8-1.1-0.6-0.0-2.0-0.7_0__Perspective.png,8.6-19.3-2.7-3.4-5.8-1.1-0.6-0.0-2.0-0.7.json
8.8-19.4-3.4-3.8-6.4--1.3-0.9-0.0-1.0-0.8,8.8,19.4,3.4,3.8,6.4,-1.3,0.9,0,1,80,5715.1,2028000,25434000,1893300,12153000,803065,15745340,66.6,246773,337517,354.8,4450.3,331.3,2126.5,140.5,2755.0,4724365,53332340,8.8-19.4-3.4-3.8-6.4--1.3-0.9-0.0-1.0-0.8_0__Perspective.png,8.8-19.4-3.4-3.8-6.4--1.3-0.9-0.0-1.0-0.8.json
6.1-19.2-2.7-4.4-6.3-1.0--0.7-1.0-1.0-0.0,6.1,19.2,2.7,4.4,6.3,1,-0.7,1,1,0,3819.8,1261100,15816000,351592.2,2256900,945195,18532020,99.5,201517,256316,330.1,4140.5,92.0,590.8,247.4,4851.6,2557887,36604920,6.1-19.2-2.7-4.4-6.3-1.0--0.7-1.0-1.0-0.0_0__Perspective.png,6.1-19.2-2.7-4.4-6.3-1.0--0.7-1.0-1.0-0.0.json
7.0-15.9-3.0-4.3-4.6--0.8--0.7-0.0-2.0-0.4,7,15.9,3,4.3,4.6,-0.8,-0.7,0,2,40,3536.9,1039800,13041000,970757,6231200,913384,17926060,64.9,154420,210513,294.0,3687.1,274.5,1761.8,258.2,5068.3,2923941,37198260,7.0-15.9-3.0-4.3-4.6--0.8--0.7-0.0-2.0-0.4_0__Perspective.png,7.0-15.9-3.0-4.3-4.6--0.8--0.7-0.0-2.0-0.4.json
8.7-18.7-2.9-4.2-4.2-0.9--0.8-1.0-0.0-0.6,8.7,18.7,2.9,4.2,4.2,0.9,-0.8,1,0,60,5346,1988100,24933000,472722.7,3034400,505269,9906170,37.9,207090,265047,371.9,4663.9,88.4,567.6,94.5,1853.0,2966092,37873570,8.7-18.7-2.9-4.2-4.2-0.9--0.8-1.0-0.0-0.6_0__Perspective.png,8.7-18.7-2.9-4.2-4.2-0.9--0.8-1.0-0.0-0.6.json
6.9-15.9-2.6-5.5-5.3--0.3--0.6-0.0-2.0-0.2,6.9,15.9,2.6,5.5,5.3,-0.3,-0.6,0,2,20,3327.4,1007500,12636000,940611.5,6037700,1121156,22003790,94.5,165591,219647,302.8,3797.6,282.7,1814.5,336.9,6612.9,3069268,40677490,6.9-15.9-2.6-5.5-5.3--0.3--0.6-0.0-2.0-0.2_0__Perspective.png,6.9-15.9-2.6-5.5-5.3--0.3--0.6-0.0-2.0-0.2.json
8.1-17.3-2.5-3.3-4.6--1.5--0.8-1.0-2.0-0.5,8.1,17.3,2.5,3.3,4.6,-1.5,-0.8,1,2,50,4815.1,1705900,21394000,416825.3,2675600,970280,19042700,44.9,180595,254271,354.3,4443.1,86.6,555.7,201.5,3954.8,3093005,43112300,8.1-17.3-2.5-3.3-4.6--1.5--0.8-1.0-2.0-0.5_0__Perspective.png,8.1-17.3-2.5-3.3-4.6--1.5--0.8-1.0-2.0-0.5.json
6.0-18.0-3.4-3.5-4.3-1.4-0.1-0.0-2.0-0.1,6,18,3.4,3.5,4.3,1.4,0.1,0,2,10,3316.6,835733,10481000,780232.8,5008300,994156,19511290,73.7,158370,204701,252.0,3160.2,235.3,1510.1,299.8,5882.9,2610122,35000590,6.0-18.0-3.4-3.5-4.3-1.4-0.1-0.0-2.0-0.1_0__Perspective.png,6.0-18.0-3.4-3.5-4.3-1.4-0.1-0.0-2.0-0.1.json
8.5-19.3-3.1-4.6-6.2-1.0--0.8-0.0-1.0-0.8,8.5,19.3,3.1,4.6,6.2,1,-0.8,0,1,80,5348.6,1884000,23627000,1758900,11290000,772260,15141360,69.3,237549,323254,352.2,4417.4,328.9,2110.8,144.4,2830.9,4415160,50058360,8.5-19.3-3.1-4.6-6.2-1.0--0.8-0.0-1.0-0.8_0__Perspective.png,8.5-19.3-3.1-4.6-6.2-1.0--0.8-0.0-1.0-0.8.json
7.5-18.8-2.5-3.2-5.0--0.7-0.3-0.0-1.0-0.9,7.5,18.8,2.5,3.2,5,-0.7,0.3,0,1,90,4512.3,1410000,17683000,1316300,8449500,579805,11367980,57.1,196601,264083,312.5,3918.8,291.7,1872.5,128.5,2519.3,3306105,37500480,7.5-18.8-2.5-3.2-5.0--0.7-0.3-0.0-1.0-0.9_0__Perspective.png,7.5-18.8-2.5-3.2-5.0--0.7-0.3-0.0-1.0-0.9.json
7.8-17.3-3.1-3.7-5.8-1.8-0.6-1.0-0.0-0.6,7.8,17.3,3.1,3.7,5.8,1.8,0.6,1,0,60,4511.2,1827300,22916000,508169.3,3261900,642537,12597410,76.6,211368,246799,405.1,5079.8,112.6,723.1,142.4,2792.5,2978006,38775310,7.8-17.3-3.1-3.7-5.8-1.8-0.6-1.0-0.0-0.6_0__Perspective.png,7.8-17.3-3.1-3.7-5.8-1.8-0.6-1.0-0.0-0.6.json
6.9-18.8-3.3-5.7-5.4-0.0--0.5-1.0-1.0-0.4,6.9,18.8,3.3,5.7,5.4,0,-0.5,1,1,40,3774.7,1206300,15129000,452871.5,2907000,734745,14405820,91.7,194308,256069,319.6,4008.0,120.0,770.1,194.6,3816.4,2393917,32441820,6.9-18.8-3.3-5.7-5.4-0.0--0.5-1.0-1.0-0.4_0__Perspective.png,6.9-18.8-3.3-5.7-5.4-0.0--0.5-1.0-1.0-0.4.json
8.4-19.1-2.6-3.2-5.4--0.5-0.8-0.0-0.0-0.9,8.4,19.1,2.6,3.2,5.4,-0.5,0.8,0,0,90,5325.8,1765200,22138000,1648000,10578000,584226,11454180,52.1,233396,281079,331.4,4156.7,309.4,1986.2,109.7,2150.7,3997426,44170180,8.4-19.1-2.6-3.2-5.4--0.5-0.8-0.0-0.0-0.9_0__Perspective.png,8.4-19.1-2.6-3.2-5.4--0.5-0.8-0.0-0.0-0.9.json
6.3-19.9-3.4-4.1-6.3--1.4-0.5-1.0-0.0-0.9,6.3,19.9,3.4,4.1,6.3,-1.4,0.5,1,0,90,3999.4,1586500,19896000,569875,3658000,701685,13757050,99.4,225361,245018,396.7,4974.7,142.5,914.6,175.4,3439.8,2858060,37311050,6.3-19.9-3.4-4.1-6.3--1.4-0.5-1.0-0.0-0.9_0__Perspective.png,6.3-19.9-3.4-4.1-6.3--1.4-0.5-1.0-0.0-0.9.json
8.6-15.0-2.5-5.5-6.2-0.7--0.9-0.0-0.0-0.9,8.6,15,2.5,5.5,6.2,0.7,-0.9,0,0,90,4141.4,1629900,20442000,1521700,9767700,533448,10458640,62.8,198534,242245,393.6,4936.0,367.4,2358.6,128.8,2525.4,3685048,40668340,8.6-15.0-2.5-5.5-6.2-0.7--0.9-0.0-0.0-0.9_0__Perspective.png,8.6-15.0-2.5-5.5-6.2-0.7--0.9-0.0-0.0-0.9.json
7.6-16.3-2.8-4.7-5.2-1.1--0.8-0.0-0.0-0.1,7.6,16.3,2.8,4.7,5.2,1.1,-0.8,0,0,10,4035.5,1181900,14823000,1103500,7083000,652860,12799800,85.7,191858,219475,292.9,3673.2,273.4,1755.2,161.8,3171.8,2938260,34705800,7.6-16.3-2.8-4.7-5.2-1.1--0.8-0.0-0.0-0.1_0__Perspective.png,7.6-16.3-2.8-4.7-5.2-1.1--0.8-0.0-0.0-0.1.json
8.1-18.3-3.1-5.6-5.4-0.5-0.6-0.0-0.0-0.3,8.1,18.3,3.1,5.6,5.4,0.5,0.6,0,0,30,4541.4,1448200,18162000,1352000,8678500,702243,13767990,77.3,225481,259585,318.9,3999.2,297.7,1911.0,154.6,3031.7,3502443,40608490,8.1-18.3-3.1-5.6-5.4-0.5-0.6-0.0-0.0-0.3_0__Perspective.png,8.1-18.3-3.1-5.6-5.4-0.5-0.6-0.0-0.0-0.3.json
6.1-16.3-2.5-5.7-5.7--0.8--0.6-1.0-2.0-0.8,6.1,16.3,2.5,5.7,5.7,-0.8,-0.6,1,2,80,3066.1,1281800,16076000,486120,3120300,986536,19361740,95.1,158099,210407,418.1,5243.1,158.5,1017.7,321.8,6314.8,2754456,38558040,6.1-16.3-2.5-5.7-5.7--0.8--0.6-1.0-2.0-0.8_0__Perspective.png,6.1-16.3-2.5-5.7-5.7--0.8--0.6-1.0-2.0-0.8.json
7.1-15.9-2.8-4.3-5.4--0.7-0.6-1.0-1.0-0.1,7.1,15.9,2.8,4.3,5.4,-0.7,0.6,1,1,10,3565.4,1256900,15763000,334816,2149100,713700,13993200,93.1,169044,226184,352.5,4421.1,93.9,602.8,200.2,3924.7,2305416,31905300,7.1-15.9-2.8-4.3-5.4--0.7-0.6-1.0-1.0-0.1_0__Perspective.png,7.1-15.9-2.8-4.3-5.4--0.7-0.6-1.0-1.0-0.1.json
7.6-19.9-2.5-3.9-4.7--1.3--0.8-0.0-1.0-0.2,7.6,19.9,2.5,3.9,4.7,-1.3,-0.8,0,1,20,5121.9,1413300,17725000,1319500,8469600,724070,14196520,60,204860,277438,275.9,3460.6,257.6,1653.6,141.4,2771.7,3456870,40391120,7.6-19.9-2.5-3.9-4.7--1.3--0.8-0.0-1.0-0.2_0__Perspective.png,7.6-19.9-2.5-3.9-4.7--1.3--0.8-0.0-1.0-0.2.json
6.5-18.5-3.3-5.6-6.2--0.4-0.0-0.0-1.0-0.2,6.5,18.5,3.3,5.6,6.2,-0.4,0,0,1,20,3319,1060900,13305000,990456.5,6357700,871385,17084860,99.9,203377,255881,319.6,4008.7,298.4,1915.5,262.5,5147.6,2922742,36747560,6.5-18.5-3.3-5.6-6.2--0.4-0.0-0.0-1.0-0.2_0__Perspective.png,6.5-18.5-3.3-5.6-6.2--0.4-0.0-0.0-1.0-0.2.json
7.6-16.4-3.0-3.9-6.2--1.5-0.0-0.0-0.0-0.2,7.6,16.4,3,3.9,6.2,-1.5,0,0,0,20,3887.7,1217800,15273000,1136900,7297800,756090,14823700,97.3,213378,233707,313.2,3928.5,292.4,1877.2,194.5,3813.0,3110790,37394500,7.6-16.4-3.0-3.9-6.2--1.5-0.0-0.0-0.0-0.2_0__Perspective.png,7.6-16.4-3.0-3.9-6.2--1.5-0.0-0.0-0.0-0.2.json
8.1-15.5-3.2-5.8-4.6-0.8--0.4-0.0-2.0-0.5,8.1,15.5,3.2,5.8,4.6,0.8,-0.4,0,2,50,3720.3,1240100,15553000,1157800,7431600,888492,17437530,57.8,166975,229848,333.3,4180.6,311.2,1997.6,238.8,4687.1,3286392,40422130,8.1-15.5-3.2-5.8-4.6-0.8--0.4-0.0-2.0-0.5_0__Perspective.png,8.1-15.5-3.2-5.8-4.6-0.8--0.4-0.0-2.0-0.5.json
6.8-16.3-3.2-4.6-5.4-0.9-0.5-0.0-0.0-0.1,6.8,16.3,3.2,4.6,5.4,0.9,0.5,0,0,10,3407.5,993250.9,12457000,927290.1,5952200,656766,12876380,95.6,184969,202933,291.5,3655.8,272.1,1746.8,192.7,3778.8,2577307,31285580,6.8-16.3-3.2-4.6-5.4-0.9-0.5-0.0-0.0-0.1_0__Perspective.png,6.8-16.3-3.2-4.6-5.4-0.9-0.5-0.0-0.0-0.1.json
6.4-16.0-3.1-4.7-5.2-1.7--0.7-0.0-1.0-0.2,6.4,16,3.1,4.7,5.2,1.7,-0.7,0,1,20,3311.9,950764.5,11924000,887625.2,5697600,651175,12767300,92.9,157478,208084,287.1,3600.4,268.0,1720.3,196.6,3855.0,2489565,30388900,6.4-16.0-3.1-4.7-5.2-1.7--0.7-0.0-1.0-0.2_0__Perspective.png,6.4-16.0-3.1-4.7-5.2-1.7--0.7-0.0-1.0-0.2.json
7.0-15.3-2.5-4.4-4.0-0.2-0.8-1.0-0.0-0.4,7,15.3,2.5,4.4,4,0.2,0.8,1,0,40,3398.7,1092200,13697000,322326.1,2069000,423243,8297990,54.2,150831,180263,321.4,4030.1,94.8,608.8,124.5,2441.5,1837769,24063990,7.0-15.3-2.5-4.4-4.0-0.2-0.8-1.0-0.0-0.4_0__Perspective.png,7.0-15.3-2.5-4.4-4.0-0.2-0.8-1.0-0.0-0.4.json
6.7-19.4-3.3-5.5-5.1--1.2-0.3-0.0-1.0-0.5,6.7,19.4,3.3,5.5,5.1,-1.2,0.3,0,1,50,3902.6,1182300,14828000,1103800,7085300,688080,13490880,78,193444,251958,303.0,3799.5,282.8,1815.5,176.3,3456.9,2974180,35404180,6.7-19.4-3.3-5.5-5.1--1.2-0.3-0.0-1.0-0.5_0__Perspective.png,6.7-19.4-3.3-5.5-5.1--1.2-0.3-0.0-1.0-0.5.json
8.9-18.8-3.4-3.2-6.0-0.4-0.7-0.0-0.0-0.0,8.9,18.8,3.4,3.2,6,0.4,0.7,0,0,0,5400.6,1646700,20651000,1537300,9868000,901728,17679040,88.1,260948,295770,304.9,3823.8,284.7,1827.2,167.0,3273.5,4085728,48198040,8.9-18.8-3.4-3.2-6.0-0.4-0.7-0.0-0.0-0.0_0__Perspective.png,8.9-18.8-3.4-3.2-6.0-0.4-0.7-0.0-0.0-0.0.json
6.6-15.4-2.7-3.5-4.2--0.8--0.6-0.0-0.0-0.0,6.6,15.4,2.7,3.5,4.2,-0.8,-0.6,0,0,0,3287,838059.9,10510000,782405.2,5022200,501363,9829590,71.1,151321,174800,255.0,3197.4,238.0,1527.9,152.5,2990.4,2121828,25361790,6.6-15.4-2.7-3.5-4.2--0.8--0.6-0.0-0.0-0.0_0__Perspective.png,6.6-15.4-2.7-3.5-4.2--0.8--0.6-0.0-0.0-0.0.json
8.9-18.1-3.3-5.6-4.7-1.3--0.4-0.0-2.0-0.2,8.9,18.1,3.3,5.6,4.7,1.3,-0.4,0,2,20,5002.5,1589000,19928000,1483400,9522200,1170940,22980850,57,210228,287835,317.6,3983.6,296.5,1903.5,234.1,4593.9,4243340,52431050,8.9-18.1-3.3-5.6-4.7-1.3--0.4-0.0-2.0-0.2_0__Perspective.png,8.9-18.1-3.3-5.6-4.7-1.3--0.4-0.0-2.0-0.2.json
7.5-19.6-2.7-5.1-4.6--2.0-0.0-0.0-0.0-0.3,7.5,19.6,2.7,5.1,4.6,-2,0,0,0,30,4623.4,1329800,16677000,1241500,7968800,620217,12159810,63.2,215046,247631,287.6,3607.1,268.5,1723.6,134.1,2630.1,3191517,36805610,7.5-19.6-2.7-5.1-4.6--2.0-0.0-0.0-0.0-0.3_0__Perspective.png,7.5-19.6-2.7-5.1-4.6--2.0-0.0-0.0-0.0-0.3.json
8.2-16.1-3.1-5.3-4.5-0.6-0.2-0.0-2.0-0.1,8.2,16.1,3.1,5.3,4.5,0.6,0.2,0,2,10,3891.4,1182400,14829000,1103900,7085700,1043432,20478380,63.8,176715,239594,303.8,3810.7,283.7,1820.9,268.1,5262.5,3329732,42393080,8.2-16.1-3.1-5.3-4.5-0.6-0.2-0.0-2.0-0.1_0__Perspective.png,8.2-16.1-3.1-5.3-4.5-0.6-0.2-0.0-2.0-0.1.json
6.5-17.6-3.4-4.3-5.7--1.8--0.9-0.0-1.0-0.9,6.5,17.6,3.4,4.3,5.7,-1.8,-0.9,0,1,90,3815,1248900,15663000,1166000,7484500,617015,12097540,83,175426,236549,327.4,4105.6,305.6,1961.9,161.7,3171.0,3031915,35245040,6.5-17.6-3.4-4.3-5.7--1.8--0.9-0.0-1.0-0.9_0__Perspective.png,6.5-17.6-3.4-4.3-5.7--1.8--0.9-0.0-1.0-0.9.json
8.9-19.4-3.2-4.9-4.8--1.9--0.8-1.0-1.0-0.6,8.9,19.4,3.2,4.9,4.8,-1.9,-0.8,1,1,60,5765.2,2214100,27768000,551474.1,3539900,653615,12815140,41.6,217676,308168,384.0,4816.5,95.7,614.0,113.4,2222.8,3419189,44123040,8.9-19.4-3.2-4.9-4.8--1.9--0.8-1.0-1.0-0.6_0__Perspective.png,8.9-19.4-3.2-4.9-4.8--1.9--0.8-1.0-1.0-0.6.json
7.3-18.1-2.7-3.5-4.7-1.3-0.0-0.0-0.0-0.2,7.3,18.1,2.7,3.5,4.7,1.3,0,0,0,20,4153.5,1146600,14380000,1070500,6871400,610452,11968360,70,199187,225942,276.1,3462.1,257.7,1654.4,147.0,2881.5,2827552,33219760,7.3-18.1-2.7-3.5-4.7-1.3-0.0-0.0-0.0-0.2_0__Perspective.png,7.3-18.1-2.7-3.5-4.7-1.3-0.0-0.0-0.0-0.2.json
6.3-16.2-3.4-3.5-4.2--1.9--0.3-1.0-1.0-0.7,6.3,16.2,3.4,3.5,4.2,-1.9,-0.3,1,1,70,3275.4,1543300,19355000,363972.2,2336300,450485,8832460,54.6,140824,190342,471.2,5909.2,111.1,713.3,137.5,2696.6,2357757,30523760,6.3-16.2-3.4-3.5-4.2--1.9--0.3-1.0-1.0-0.7_0__Perspective.png,6.3-16.2-3.4-3.5-4.2--1.9--0.3-1.0-1.0-0.7.json
6.9-18.4-3.4-3.9-4.8--0.7--0.1-0.0-0.0-0.6,6.9,18.4,3.4,3.9,4.8,-0.7,-0.1,0,0,60,3796.8,1140300,14301000,1064600,6833300,551025,10803250,65.4,195521,221023,300.3,3766.6,280.4,1799.8,145.1,2845.4,2755925,31937550,6.9-18.4-3.4-3.9-4.8--0.7--0.1-0.0-0.0-0.6_0__Perspective.png,6.9-18.4-3.4-3.9-4.8--0.7--0.1-0.0-0.0-0.6.json
8.8-18.9-3.4-4.0-5.8--1.7--0.7-1.0-1.0-0.9,8.8,18.9,3.4,4,5.8,-1.7,-0.7,1,1,90,5535,2342700,29381000,671557.4,4310600,680455,13341380,58.5,225821,317967,423.3,5308.2,121.3,778.8,122.9,2410.4,3694712,47032980,8.8-18.9-3.4-4.0-5.8--1.7--0.7-1.0-1.0-0.9_0__Perspective.png,8.8-18.9-3.4-4.0-5.8--1.7--0.7-1.0-1.0-0.9.json
6.1-18.0-3.4-5.0-4.4-0.4-0.0-1.0-2.0-0.2,6.1,18,3.4,5,4.4,0.4,0,1,2,20,3028.2,1049000,13156000,316997.9,2034800,994664,19521260,86.2,164036,208519,346.4,4344.5,104.7,672.0,328.5,6446.5,2360662,34712060,6.1-18.0-3.4-5.0-4.4-0.4-0.0-1.0-2.0-0.2_0__Perspective.png,6.1-18.0-3.4-5.0-4.4-0.4-0.0-1.0-2.0-0.2.json
6.9-18.4-3.1-3.8-5.6-1.7-0.7-1.0-0.0-0.9,6.9,18.4,3.1,3.8,5.6,1.7,0.7,1,0,90,4247.8,1546200,19392000,536538.8,3444000,580041,11372130,78.5,201311,235345,364.0,4565.2,126.3,810.8,136.6,2677.2,2662780,34208130,6.9-18.4-3.1-3.8-5.6-1.7-0.7-1.0-0.0-0.9_0__Perspective.png,6.9-18.4-3.1-3.8-5.6-1.7-0.7-1.0-0.0-0.9.json
8.4-17.9-2.8-3.7-4.7-0.2--0.6-0.0-1.0-0.0,8.4,17.9,2.8,3.7,4.7,0.2,-0.6,0,1,0,4775.2,1368400,17162000,1277600,8200500,733220,14375920,64.7,202040,272850,286.6,3594.0,267.5,1717.3,153.5,3010.5,3379220,39738420,8.4-17.9-2.8-3.7-4.7-0.2--0.6-0.0-1.0-0.0_0__Perspective.png,8.4-17.9-2.8-3.7-4.7-0.2--0.6-0.0-1.0-0.0.json
