in:name,in:building width,in:building length,in:core width,in:core length,in:floor to floor,in:length shift,in:width shift,in:concrete or steel,in:glass performance,in:glazing ratio %,out:floor area,out:ECe Steel,out:EE Steel,out:ECe Concrete,out:EE Concrete,out:ECe Glazing,out:EE Glazing,out:Daylight Factor %,out:Total Cooling kwh,out:Total Heating kwh,out: Steel ECe/m2,out: Steel EE/m2,out:Concrete ECe/m2,out:Concrete EE/m2,out:Glazing ECe/m2,out:Glazing EE/m2,out:Total Ece,out: Total EE,:img,:threed
7.9-17.6-2.6-3.2-4.6--1.4--0.6-1.0-2.0-0.5,7.9,17.6,2.6,3.2,4.6,-1.4,-0.6,1,2,50,4681.8,1724000,21622000,408729.6,2623600,979424,19222160,46.4,181671,252766,368.2,4618.3,87.3,560.4,209.2,4105.7,3112154,43467760,7.9-17.6-2.6-3.2-4.6--1.4--0.6-1.0-2.0-0.5_0__Perspective.png,7.9-17.6-2.6-3.2-4.6--1.4--0.6-1.0-2.0-0.5.json
7.9-15.3-2.8-3.6-5.7--1.4--0.2-0.0-0.0-0.2,7.9,15.3,2.8,3.6,5.7,-1.4,-0.2,0,0,20,3877.4,1195600,14994000,1116200,7164700,668484,13106120,90.4,195757,219888,308.4,3867.0,287.9,1847.8,172.4,3380.1,2980284,35264820,7.9-15.3-2.8-3.6-5.7--1.4--0.2-0.0-0.0-0.2_0__Perspective.png,7.9-15.3-2.8-3.6-5.7--1.4--0.2-0.0-0.0-0.2.json
6.4-16.0-3.3-4.7-4.0--0.9--0.2-0.0-2.0-0.7,6.4,16,3.3,4.7,4,-0.9,-0.2,0,2,70,2991.2,896539.7,11244000,837001.4,5372600,708152,13898180,56.2,139393,187147,299.7,3759.0,279.8,1796.1,236.7,4646.4,2441693,30514780,6.4-16.0-3.3-4.7-4.0--0.9--0.2-0.0-2.0-0.7_0__Perspective.png,6.4-16.0-3.3-4.7-4.0--0.9--0.2-0.0-2.0-0.7.json
7.9-15.3-2.9-5.0-4.1-1.4--0.2-1.0-0.0-0.2,7.9,15.3,2.9,5,4.1,1.4,-0.2,1,0,20,3736,1890000,23703000,332011.9,2131200,480996,9430280,52.2,164586,200895,505.9,6344.5,88.9,570.4,128.7,2524.2,2703008,35264480,7.9-15.3-2.9-5.0-4.1-1.4--0.2-1.0-0.0-0.2_0__Perspective.png,7.9-15.3-2.9-5.0-4.1-1.4--0.2-1.0-0.0-0.2.json
8.6-16.8-2.9-5.1-4.8-1.1--0.7-0.0-1.0-0.1,8.6,16.8,2.9,5.1,4.8,1.1,-0.7,0,1,10,4640.9,1421300,17824000,1326900,8517100,698450,13694200,63.4,192492,264777,306.3,3840.6,285.9,1835.2,150.5,2950.8,3446650,40035300,8.6-16.8-2.9-5.1-4.8-1.1--0.7-0.0-1.0-0.1_0__Perspective.png,8.6-16.8-2.9-5.1-4.8-1.1--0.7-0.0-1.0-0.1.json
8.1-16.7-3.0-4.8-4.2--1.5--0.1-0.0-1.0-0.6,8.1,16.7,3,4.8,4.2,-1.5,-0.1,0,1,60,4195.9,1325100,16619000,1237100,7941000,496540,9735440,41.3,173729,238317,315.8,3960.8,294.8,1892.6,118.3,2320.2,3058740,34295440,8.1-16.7-3.0-4.8-4.2--1.5--0.1-0.0-1.0-0.6_0__Perspective.png,8.1-16.7-3.0-4.8-4.2--1.5--0.1-0.0-1.0-0.6.json
6.9-15.8-2.5-4.3-5.5--0.2--0.8-0.0-2.0-0.4,6.9,15.8,2.5,4.3,5.5,-0.2,-0.8,0,2,40,3477.3,1063300,13335000,992675.7,6371900,1083056,21256040,92,164752,221486,305.8,3834.9,285.5,1832.4,311.5,6112.8,3139032,40962940,6.9-15.8-2.5-4.3-5.5--0.2--0.8-0.0-2.0-0.4_0__Perspective.png,6.9-15.8-2.5-4.3-5.5--0.2--0.8-0.0-2.0-0.4.json
7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.1,7.8,15.2,3,4.3,5.7,1.6,-0.4,0,1,10,3811.2,1169500,14667000,1091800,7008300,751215,14728740,92.7,178001,239076,306.9,3848.4,286.5,1838.9,197.1,3864.6,3012515,36404040,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.1_0__Perspective.png,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.1.json
6.2-17.5-3.3-4.8-4.9-0.1--0.2-1.0-2.0-0.2,6.2,17.5,3.3,4.8,4.9,0.1,-0.2,1,2,20,3063.5,1539000,19301000,333931.9,2143400,1087120,21335800,97.7,169309,213968,502.4,6300.3,109.0,699.7,354.9,6964.5,2960052,42780200,6.2-17.5-3.3-4.8-4.9-0.1--0.2-1.0-2.0-0.2_0__Perspective.png,6.2-17.5-3.3-4.8-4.9-0.1--0.2-1.0-2.0-0.2.json
6.7-18.6-2.7-4.2-5.6-0.4--0.7-1.0-1.0-0.0,6.7,18.6,2.7,4.2,5.6,0.4,-0.7,1,1,0,3995,1237200,15517000,332194.3,2132300,840275,16474900,100,199083,253384,309.7,3884.1,83.2,533.7,210.3,4123.9,2409669,34124200,6.7-18.6-2.7-4.2-5.6-0.4--0.7-1.0-1.0-0.0_0__Perspective.png,6.7-18.6-2.7-4.2-5.6-0.4--0.7-1.0-1.0-0.0.json
6.9-15.6-2.5-3.2-6.2-0.0--0.9-0.0-1.0-0.5,6.9,15.6,2.5,3.2,6.2,0,-0.9,0,1,50,3525.4,1106900,13882000,1033400,6633300,700585,13736060,96.3,170994,230486,314.0,3937.7,293.1,1881.6,198.7,3896.3,2840885,34251360,6.9-15.6-2.5-3.2-6.2-0.0--0.9-0.0-1.0-0.5_0__Perspective.png,6.9-15.6-2.5-3.2-6.2-0.0--0.9-0.0-1.0-0.5.json
6.9-18.6-3.1-4.0-5.4-1.7-0.7-1.0-0.0-0.8,6.9,18.6,3.1,4,5.4,1.7,0.7,1,0,80,4275.5,1572500,19721000,509063.6,3267600,585342,11476060,74.5,200595,234447,367.8,4612.6,119.1,764.3,136.9,2684.1,2666906,34464660,6.9-18.6-3.1-4.0-5.4-1.7-0.7-1.0-0.0-0.8_0__Perspective.png,6.9-18.6-3.1-4.0-5.4-1.7-0.7-1.0-0.0-0.8.json
7.2-16.8-3.3-4.9-6.0--1.2--0.8-0.0-0.0-0.5,7.2,16.8,3.3,4.9,6,-1.2,-0.8,0,0,50,3860.2,1278200,16030000,1193300,7659700,664020,13018600,92.3,201280,227931,331.1,4152.6,309.1,1984.3,172.0,3372.5,3135520,36708300,7.2-16.8-3.3-4.9-6.0--1.2--0.8-0.0-0.0-0.5_0__Perspective.png,7.2-16.8-3.3-4.9-6.0--1.2--0.8-0.0-0.0-0.5.json
6.7-19.4-3.2-5.5-5.1--1.2-0.1-0.0-1.0-0.4,6.7,19.4,3.2,5.5,5.1,-1.2,0.1,0,1,40,3832.8,1143900,14346000,1068000,6855100,708210,13885560,81.3,194519,251967,298.5,3743.0,278.6,1788.5,184.8,3622.8,2920110,35086660,6.7-19.4-3.2-5.5-5.1--1.2-0.1-0.0-1.0-0.4_0__Perspective.png,6.7-19.4-3.2-5.5-5.1--1.2-0.1-0.0-1.0-0.4.json
