Name,in:Elevator Width,in:Elevator Length,in:Module Width,in:Module Length,in:Floor Height,in:Length Shift,in:Width Shift,in:Glass Type,in:Solid Wall Amount,out:Total SF,out:Total Steel Tonnage,out:Total EE,out:Amount Glazed,img:Image Name,threeD,,,,,
10~18~30~70~15~-2~-2~1~0.26,10,18,30,70,15,-2,-2,1,0.26,66144,682.996697,12705.76318,0.92,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_18.0_32.0_62.0_14.0_-2.0_-2.0_7.0_0.04_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_18.0_30.0_70.0_15.0_-2.0_-2.0_1.0_0.26.json,,,,,
10~18~32~62~14~-2~-2~7~0.04,10,18,32,62,14,-2,-2,7,0.04,62144,649.743679,12865.28064,11.5,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_24.0_72.0_19.0_-2.0_0.0_3.0_0.17_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_18.0_32.0_62.0_14.0_-2.0_-2.0_7.0_0.04.json,,,,,
10~20~24~72~19~-2~0~3~0.17,10,20,24,72,19,-2,0,3,0.17,50048,399.139044,9813.179348,1.94,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_26.0_68.0_18.0_-2.0_-2.0_9.0_0.28_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_24.0_72.0_19.0_-2.0_0.0_3.0_0.17.json,,,,,
10~20~26~68~18~-2~-2~9~0.28,10,20,26,68,18,-2,-2,9,0.28,54592,670.840455,15120.37661,0.79,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_26.0_72.0_18.0_-4.0_2.0_5.0_0.21_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_26.0_68.0_18.0_-2.0_-2.0_9.0_0.28.json,,,,,
10~20~26~72~18~-4~2~5~0.21,10,20,26,72,18,-4,2,5,0.21,59264,757.273637,15723.03591,1.38,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_26.0_78.0_19.0_0.0_2.0_4.0_0.4_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_26.0_72.0_18.0_-4.0_2.0_5.0_0.21.json,,,,,
10~20~26~78~19~0~2~4~0.4,10,20,26,78,19,0,2,4,0.4,62240,735.439375,14539.52442,0.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_28.0_60.0_16.0_4.0_-4.0_1.0_0.15_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_26.0_78.0_19.0_0.0_2.0_4.0_0.4.json,,,,,
10~20~28~60~16~4~-4~1~0.15,10,20,28,60,16,4,-4,1,0.15,55424,518.330729,11507.46969,2.33,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_28.0_62.0_16.0_-4.0_-4.0_6.0_0.38_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_28.0_60.0_16.0_4.0_-4.0_1.0_0.15.json,,,,,
10~20~28~62~16~-4~-4~6~0.38,10,20,28,62,16,-4,-4,6,0.38,57408,534.613985,11458.85591,0.32,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_28.0_78.0_19.0_6.0_-2.0_9.0_0.2_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_28.0_62.0_16.0_-4.0_-4.0_6.0_0.38.json,,,,,
10~20~28~78~19~6~-2~9~0.2,10,20,28,78,19,6,-2,9,0.2,70976,863.958253,14978.30252,1.5,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_32.0_66.0_14.0_-2.0_-2.0_6.0_0.3_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_28.0_78.0_19.0_6.0_-2.0_9.0_0.2.json,,,,,
10~20~32~66~14~0~2~3~0.46,10,20,32,66,14,0,2,3,0.46,64352,808.600245,15461.05793,0.09,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/10.0_20.0_32.0_66.0_14.0_0.0_2.0_3.0_0.46_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D10.0_20.0_32.0_66.0_14.0_-2.0_-2.0_6.0_0.3.json,,,,,
