in:name,in:width,in:length,in:core w.,in:core l.,in:floor height,in:shift l.,in:shift w.,in:concrete or steel,in:glass type,in:glazing ratio ,out:FLOOR AREA,out:DAYLIGHT FACT.,out:COOLING kwh,out:HEATING kwh,out:STEEL ece,out:CONC. Ece,out:GLAZING ece,out:TOTAL ece,img:Image Name,threeD
8.1-18.3-3.1-5.6-5.4-0.5-0.6-0.0-0.0-0.3,8.1,18.3,3.1,5.6,5.4,0.5,0.6,0,0,30,4541.4,77.3,225481,259585,318.9,297.7,154.6,3502443.0,8.1-18.3-3.1-5.6-5.4-0.5-0.6-0.0-0.0-0.3_0__Perspective.png,8.1-18.3-3.1-5.6-5.4-0.5-0.6-0.0-0.0-0.3.json
6.1-16.3-2.5-5.7-5.7--0.8--0.6-1.0-2.0-0.8,6.1,16.3,2.5,5.7,5.7,-0.8,-0.6,1,2,80,3066.1,95.1,158099,210407,418.1,158.5,321.8,2754456.0,6.1-16.3-2.5-5.7-5.7--0.8--0.6-1.0-2.0-0.8_0__Perspective.png,6.1-16.3-2.5-5.7-5.7--0.8--0.6-1.0-2.0-0.8.json
7.1-15.9-2.8-4.3-5.4--0.7-0.6-1.0-1.0-0.1,7.1,15.9,2.8,4.3,5.4,-0.7,0.6,1,1,10,3565.4,93.1,169044,226184,352.5,93.9,200.2,2305416.0,7.1-15.9-2.8-4.3-5.4--0.7-0.6-1.0-1.0-0.1_0__Perspective.png,7.1-15.9-2.8-4.3-5.4--0.7-0.6-1.0-1.0-0.1.json
7.6-19.9-2.5-3.9-4.7--1.3--0.8-0.0-1.0-0.2,7.6,19.9,2.5,3.9,4.7,-1.3,-0.8,0,1,20,5121.9,60,204860,277438,275.9,257.6,141.4,3456870.0,7.6-19.9-2.5-3.9-4.7--1.3--0.8-0.0-1.0-0.2_0__Perspective.png,7.6-19.9-2.5-3.9-4.7--1.3--0.8-0.0-1.0-0.2.json
6.5-18.5-3.3-5.6-6.2--0.4-0.0-0.0-1.0-0.2,6.5,18.5,3.3,5.6,6.2,-0.4,0,0,1,20,3319,99.9,203377,255881,319.6,298.4,262.5,2922741.5,6.5-18.5-3.3-5.6-6.2--0.4-0.0-0.0-1.0-0.2_0__Perspective.png,6.5-18.5-3.3-5.6-6.2--0.4-0.0-0.0-1.0-0.2.json
7.6-16.4-3.0-3.9-6.2--1.5-0.0-0.0-0.0-0.2,7.6,16.4,3,3.9,6.2,-1.5,0,0,0,20,3887.7,97.3,213378,233707,313.2,292.4,194.5,3110790.0,7.6-16.4-3.0-3.9-6.2--1.5-0.0-0.0-0.0-0.2_0__Perspective.png,7.6-16.4-3.0-3.9-6.2--1.5-0.0-0.0-0.0-0.2.json
8.1-15.5-3.2-5.8-4.6-0.8--0.4-0.0-2.0-0.5,8.1,15.5,3.2,5.8,4.6,0.8,-0.4,0,2,50,3720.3,57.8,166975,229848,333.3,311.2,238.8,3286392.0,8.1-15.5-3.2-5.8-4.6-0.8--0.4-0.0-2.0-0.5_0__Perspective.png,8.1-15.5-3.2-5.8-4.6-0.8--0.4-0.0-2.0-0.5.json
6.8-16.3-3.2-4.6-5.4-0.9-0.5-0.0-0.0-0.1,6.8,16.3,3.2,4.6,5.4,0.9,0.5,0,0,10,3407.5,95.6,184969,202933,291.5,272.1,192.7,2577307.0,6.8-16.3-3.2-4.6-5.4-0.9-0.5-0.0-0.0-0.1_0__Perspective.png,6.8-16.3-3.2-4.6-5.4-0.9-0.5-0.0-0.0-0.1.json
6.4-16.0-3.1-4.7-5.2-1.7--0.7-0.0-1.0-0.2,6.4,16,3.1,4.7,5.2,1.7,-0.7,0,1,20,3311.9,92.9,157478,208084,287.1,268.0,196.6,2489564.7,6.4-16.0-3.1-4.7-5.2-1.7--0.7-0.0-1.0-0.2_0__Perspective.png,6.4-16.0-3.1-4.7-5.2-1.7--0.7-0.0-1.0-0.2.json
7.0-15.3-2.5-4.4-4.0-0.2-0.8-1.0-0.0-0.4,7,15.3,2.5,4.4,4,0.2,0.8,1,0,40,3398.7,54.2,150831,180263,321.4,94.8,124.5,1837769.1,7.0-15.3-2.5-4.4-4.0-0.2-0.8-1.0-0.0-0.4_0__Perspective.png,7.0-15.3-2.5-4.4-4.0-0.2-0.8-1.0-0.0-0.4.json
6.7-19.4-3.3-5.5-5.1--1.2-0.3-0.0-1.0-0.5,6.7,19.4,3.3,5.5,5.1,-1.2,0.3,0,1,50,3902.6,78,193444,251958,303.0,282.8,176.3,2974180.0,6.7-19.4-3.3-5.5-5.1--1.2-0.3-0.0-1.0-0.5_0__Perspective.png,6.7-19.4-3.3-5.5-5.1--1.2-0.3-0.0-1.0-0.5.json
