in:Depth,in:Height,in:Orientation,in:WWR,in:SHD,out:Cooling[kWh],out:Heating[kWh],out:Lighting[kWh],out:EffDepth[m],out:DA,out:UDI,out:CDA,out:SDA,img,threeD
6,4.2,180,0.4,0,1115.260869,3927.874408,83.665976,4.75,58.333333,76.851852,97.222222,77.78,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_6.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_6.0_RMH_4.2.json
8,3,180,0.4,0,1210.589997,3979.933723,547.185053,3.75,35.416667,63.888889,50,45.14,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_8.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_8.0_RMH_3.0.json
8,3.6,180,0.4,0,1305.201757,4398.511993,447.271384,3.75,38.194444,68.75,54.861111,50,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_8.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_8.0_RMH_3.6.json
8,4.2,180,0.4,0,1383.463782,4806.739214,342.762709,4.25,43.75,81.25,56.944444,56.25,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_8.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_180.0_RMDEPTH_8.0_RMH_4.2.json
10,3,225,0.4,0,1693.788327,4617.726414,1036.311189,3.75,29.444444,45,40,35.56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.0.json
10,3.6,225,0.4,0,1769.769984,5057.033168,904.24208,3.75,31.666667,46.666667,44.444444,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_3.6.json
10,4.2,225,0.4,0,1879.986521,5496.575857,822.939682,4.25,35,50.555556,45,45,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_10.0_RMH_4.2.json
6,3,225,0.4,0,1085.993754,3260.886232,158.099311,3.75,50,82.407407,72.222222,65.74,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_6.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_6.0_RMH_3.0.json
6,3.6,225,0.4,0,1193.514061,3587.975495,97.671577,4.25,56.481481,78.703704,88.888889,72.22,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_6.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_6.0_RMH_3.6.json
6,4.2,225,0.4,0,1316.085209,3883.61651,81.031731,5.75,58.333333,75,100,84.26,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_6.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_6.0_RMH_4.2.json
8,3,225,0.4,0,1356.400318,3995.10164,494.291335,3.75,36.805556,61.111111,50,45.83,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_8.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_8.0_RMH_3.0.json
8,3.6,225,0.4,0,1451.075817,4370.112204,399.360561,3.75,40.972222,69.444444,56.25,50,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_8.0_RMH_3.6_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_8.0_RMH_3.6.json
8,4.2,225,0.4,0,1559.191604,4762.023078,316.330768,4.25,43.75,81.944444,61.111111,56.25,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_8.0_RMH_4.2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_225.0_RMDEPTH_8.0_RMH_4.2.json
10,3,270,0.4,0,1807.10452,4381.451273,976.481354,4.25,31.111111,43.333333,43.333333,41.11,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.0_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/DefaultData/SHDCOUNT_0.0_GLZPER_0.4_ROOMOR_270.0_RMDEPTH_10.0_RMH_3.0.json
