Name,in:Top of Handle,in:Bottom of Handle,in:Length of Handle,in:Radius of Mug,in:Height of Mug,out:Volume of Liquid,out:Weight of Mug,out:Ratio of Mug to Handle,out:Ratio of Mug to Liquid,img:Image Name,threeD
0.658-0.2344-1.39275-1.1212-1.216,0.658,0.2344,1.39275,1.1212,1.216,2.709,0.199,0.154,0.887,Frame_00183.bmp,d3_183.json
0.5748-0.1129-0.49675-1.3019-1.839,0.5748,0.1129,0.49675,1.3019,1.839,6.252,0.297,0.02,0.575,Frame_00184.bmp,d3_184.json
0.8048-0.3334-1.209-1.4111-1.651,0.8048,0.3334,1.209,1.4111,1.651,6.686,0.322,0.073,0.582,Frame_00185.bmp,d3_185.json
0.5668-0.1921-0.60875-0.973-1.478,0.5668,0.1921,0.60875,0.973,1.478,2.399,0.17,0.038,0.859,Frame_00186.bmp,d3_186.json
0.8204-0.1795-1.79525-1.8453-1.426,0.8204,0.1795,1.79525,1.8453,1.426,10.426,0.444,0.116,0.515,Frame_00187.bmp,d3_187.json
0.8812-0.3352-1.0025-1.363-1.977,0.8812,0.3352,1.0025,1.363,1.977,7.551,0.346,0.055,0.554,Frame_00188.bmp,d3_188.json
0.65-0.136-0.30775-1.376-1.281,0.65,0.136,0.30775,1.376,1.281,4.697,0.243,0.011,0.626,Frame_00189.bmp,d3_189.json
0.7812-0.3964-0.61575-1.5073-1.011,0.7812,0.3964,0.61575,1.5073,1.011,4.354,0.242,0.024,0.671,Frame_00190.bmp,d3_190.json
0.6228-0.2017-1.15825-0.9912-1.832,0.6228,0.2017,1.15825,0.9912,1.832,3.21,0.221,0.101,0.833,Frame_00191.bmp,d3_191.json
0.706-0.1351-0.71025-1.3162-1.756,0.706,0.1351,0.71025,1.3162,1.756,6.09,0.296,0.036,0.587,Frame_00192.bmp,d3_192.json
0.7612-0.3505-0.77675-0.778-1.235,0.7612,0.3505,0.77675,0.778,1.235,1.086,0.113,0.087,1.252,Frame_00193.bmp,d3_193.json
0.552-0.2695-1.59925-1.8674-1.262,0.552,0.2695,1.59925,1.8674,1.262,9.276,0.409,0.09,0.533,Frame_00194.bmp,d3_194.json
0.6608-0.2839-1.35425-1.3305-1.463,0.6608,0.2839,1.35425,1.3305,1.463,5.071,0.278,0.101,0.662,Frame_00195.bmp,d3_195.json
0.7568-0.3235-0.29725-1.0458-1.947,0.7568,0.3235,0.29725,1.0458,1.947,3.926,0.23,0.013,0.709,Frame_00196.bmp,d3_196.json
0.5712-0.1294-1.272-0.9574-1.171,0.5712,0.1294,1.272,0.9574,1.171,1.75,0.156,0.168,1.075,Frame_00197.bmp,d3_197.json
0.6844-0.3235-1.4015-0.7637-1.91,0.6844,0.3235,1.4015,0.7637,1.91,1.707,0.175,0.189,1.239,Frame_00198.bmp,d3_198.json
0.834-0.2563-1.92125-1.6789-1.324,0.834,0.2563,1.92125,1.6789,1.324,7.723,0.381,0.155,0.596,Frame_00199.bmp,d3_199.json
0.716-0.3457-1.951-1.0705-1.15,0.716,0.3457,1.951,1.0705,1.15,2.262,0.205,0.325,1.094,Frame_00200.bmp,d3_200.json
0.5552-0.1651-0.79425-1.1654-1.608,0.5552,0.1651,0.79425,1.1654,1.608,4.123,0.236,0.044,0.69,Frame_00201.bmp,d3_201.json
0.7776-0.3124-0.3095-1.688-1.19,0.7776,0.3124,0.3095,1.688,1.19,6.886,0.313,0.007,0.549,Frame_00202.bmp,d3_202.json
0.808-0.127-1.99475-1.3851-1.577,0.808,0.127,1.99475,1.3851,1.577,6.076,0.34,0.204,0.675,Frame_00203.bmp,d3_203.json
0.722-0.1753-0.4285-1.8557-1.773,0.722,0.1753,0.4285,1.8557,1.773,13.547,0.47,0.011,0.419,Frame_00204.bmp,d3_204.json
0.654-0.3718-1.5135-1.9831-1.427,0.654,0.3718,1.5135,1.9831,1.427,12.256,0.474,0.069,0.468,Frame_00205.bmp,d3_205.json
0.8524-0.2974-1.78475-0.908-1.923,0.8524,0.2974,1.78475,0.908,1.923,2.713,0.233,0.252,1.037,Frame_00206.bmp,d3_206.json
0.8292-0.3316-1.5485-0.8495-1.808,0.8292,0.3316,1.5485,0.8495,1.808,2.131,0.196,0.217,1.114,Frame_00207.bmp,d3_207.json
0.8844-0.3358-0.64375-1.4657-1.476,0.8844,0.3358,0.64375,1.4657,1.476,6.422,0.3,0.027,0.564,Frame_00208.bmp,d3_208.json
0.8012-0.313-1.81975-1.8154-1.14,0.8012,0.313,1.81975,1.8154,1.14,7.706,0.383,0.132,0.6,Frame_00209.bmp,d3_209.json
0.7976-0.2569-0.99725-0.9288-1.769,0.7976,0.2569,0.99725,0.9288,1.769,2.618,0.195,0.095,0.902,Frame_00210.bmp,d3_210.json
0.6152-0.3151-0.39525-1.3643-1.765,0.6152,0.3151,0.39525,1.3643,1.765,6.665,0.305,0.01,0.553,Frame_00211.bmp,d3_211.json
0.5924-0.2482-0.81525-1.9103-1.727,0.5924,0.2482,0.81525,1.9103,1.727,14.032,0.486,0.022,0.419,Frame_00212.bmp,d3_212.json
0.5144-0.3493-1.7795-1.7881-1.367,0.5144,0.3493,1.7795,1.7881,1.367,9.246,0.412,0.112,0.538,Frame_00213.bmp,d3_213.json
0.8988-0.2044-1.7935-1.6347-1.616,0.8988,0.2044,1.7935,1.6347,1.616,9.157,0.411,0.132,0.542,Frame_00214.bmp,d3_214.json
0.8072-0.1078-1.146-1.2356-1.02,0.8072,0.1078,1.146,1.2356,1.02,2.763,0.195,0.112,0.851,Frame_00215.bmp,d3_215.json
0.7696-0.1024-1.76025-1.7998-1.682,0.7696,0.1024,1.76025,1.7998,1.682,11.916,0.475,0.108,0.482,Frame_00216.bmp,d3_216.json
0.6428-0.1693-1.475-1.207-1.634,0.6428,0.1693,1.475,1.207,1.634,4.568,0.271,0.13,0.716,Frame_00217.bmp,d3_217.json
0.542-0.3064-0.6525-1.1537-1.576,0.542,0.3064,0.6525,1.1537,1.576,3.932,0.225,0.028,0.693,Frame_00218.bmp,d3_218.json
0.6868-0.2386-0.76275-1.8206-1.44,0.6868,0.2386,0.76275,1.8206,1.44,10.231,0.403,0.024,0.475,Frame_00219.bmp,d3_219.json
0.8688-0.3508-0.355-1.3383-1.143,0.8688,0.3508,0.355,1.3383,1.143,3.839,0.216,0.013,0.681,Frame_00220.bmp,d3_220.json
0.6584-0.2923-1.48725-1.428-1.001,0.6584,0.2923,1.48725,1.428,1.001,3.795,0.245,0.136,0.781,Frame_00221.bmp,d3_221.json
0.6044-0.1612-1.42425-1.3383-1.09,0.6044,0.1612,1.42425,1.3383,1.09,3.623,0.234,0.133,0.782,Frame_00222.bmp,d3_222.json
0.5892-0.289-1.08475-1.0224-1.37,0.5892,0.289,1.08475,1.0224,1.37,2.486,0.182,0.097,0.884,Frame_00223.bmp,d3_223.json
0.8216-0.139-1.09525-0.9626-1.261,0.8216,0.139,1.09525,0.9626,1.261,1.938,0.161,0.133,1.003,Frame_00224.bmp,d3_224.json
0.6236-0.1351-1.181-0.8846-1.149,0.6236,0.1351,1.181,0.8846,1.149,1.397,0.137,0.168,1.183,Frame_00225.bmp,d3_225.json
0.622-0.3196-1.3875-1.9623-1.098,0.622,0.3196,1.3875,1.9623,1.098,8.762,0.399,0.069,0.55,Frame_00226.bmp,d3_226.json
0.8352-0.3844-0.89925-1.6139-1.285,0.8352,0.3844,0.89925,1.6139,1.285,6.814,0.317,0.04,0.563,Frame_00227.bmp,d3_227.json
0.7864-0.2569-0.495-1.2044-1.372,0.7864,0.2569,0.495,1.2044,1.372,3.714,0.214,0.025,0.696,Frame_00228.bmp,d3_228.json
0.8604-0.1051-1.54325-1.0367-1.353,0.8604,0.1051,1.54325,1.0367,1.353,2.536,0.202,0.215,0.965,Frame_00229.bmp,d3_229.json
0.8344-0.3955-0.327-1.3383-1.635,0.8344,0.3955,0.327,1.3383,1.635,5.841,0.28,0.011,0.579,Frame_00230.bmp,d3_230.json
0.8164-0.2056-1.74975-0.999-1.833,0.8164,0.2056,1.74975,0.999,1.833,3.275,0.249,0.225,0.917,Frame_00231.bmp,d3_231.json
0.6112-0.1324-1.237-1.2343-1.696,0.6112,0.1324,1.237,1.2343,1.696,5.028,0.277,0.091,0.667,Frame_00232.bmp,d3_232.json
0.7116-0.2662-1.47325-1.2096-1.252,0.7116,0.2662,1.47325,1.2096,1.252,3.369,0.226,0.152,0.811,Frame_00233.bmp,d3_233.json
0.6096-0.1774-1.6045-1.9519-1.654,0.6096,0.1774,1.6045,1.9519,1.654,14.02,0.513,0.076,0.442,Frame_00234.bmp,d3_234.json
0.6124-0.3967-0.4145-1.7777-1.359,0.6124,0.3967,0.4145,1.7777,1.359,9.063,0.369,0.007,0.491,Frame_00235.bmp,d3_235.json
0.6168-0.2134-0.72775-1.7257-1.312,0.6168,0.2134,0.72775,1.7257,1.312,8.132,0.35,0.024,0.52,Frame_00236.bmp,d3_236.json
0.6276-0.3064-0.5265-1.1368-1.306,0.6276,0.3064,0.5265,1.1368,1.306,3.049,0.19,0.024,0.753,Frame_00237.bmp,d3_237.json
0.694-0.1273-0.49675-1.8297-1.006,0.694,0.1273,0.49675,1.8297,1.006,6.725,0.323,0.014,0.58,Frame_00238.bmp,d3_238.json
0.7428-0.3874-1.52575-1.5996-1.843,0.7428,0.3874,1.52575,1.5996,1.843,10.111,0.42,0.084,0.503,Frame_00239.bmp,d3_239.json
0.6388-0.1951-0.8555-0.7091-1.079,0.6388,0.1951,0.8555,0.7091,1.079,0.716,0.092,0.131,1.546,Frame_00240.bmp,d3_240.json
0.7308-0.1633-0.39175-1.7881-1.354,0.7308,0.1633,0.39175,1.7881,1.354,9.143,0.371,0.011,0.491,Frame_00241.bmp,d3_241.json
