Name,in:Top of Handle,in:Bottom of Handle,in:Length of Handle,in:Radius of Mug,in:Height of Mug,out:Volume of Liquid,out:Weight of Mug,out:Ratio of Mug to Handle,out:Ratio of Mug to Liquid,img:Image Name,threeD
0.806-0.3037-1.2545-0.9353-1.667,0.806,0.3037,1.2545,0.9353,1.667,2.492,0.195,0.139,0.947,Frame_00457.bmp,d3_457.json
0.6472-0.1639-1.76375-1.2421-1.173,0.6472,0.1639,1.76375,1.2421,1.173,3.32,0.237,0.216,0.862,Frame_00458.bmp,d3_458.json
0.6424-0.3814-0.65775-1.142-1.237,0.6424,0.3814,0.65775,1.142,1.237,2.891,0.186,0.034,0.776,Frame_00459.bmp,d3_459.json
0.6196-0.1027-0.97625-1.4332-1.844,0.6196,0.1027,0.97625,1.4332,1.844,7.855,0.349,0.049,0.538,Frame_00460.bmp,d3_460.json
0.5448-0.1696-1.54675-0.9041-1.421,0.5448,0.1696,1.54675,0.9041,1.421,1.902,0.176,0.226,1.119,Frame_00461.bmp,d3_461.json
0.5136-0.2515-0.28675-1.3955-1.037,0.5136,0.2515,0.28675,1.3955,1.037,3.758,0.215,0.007,0.691,Frame_00462.bmp,d3_462.json
0.6688-0.1813-1.776-1.4163-1.993,0.6688,0.1813,1.776,1.4163,1.993,8.333,0.394,0.131,0.571,Frame_00463.bmp,d3_463.json
0.6108-0.2776-0.9605-1.9077-1.192,0.6108,0.2776,0.9605,1.9077,1.192,9.088,0.388,0.034,0.515,Frame_00464.bmp,d3_464.json
0.8416-0.3127-0.67-0.7806-1.287,0.8416,0.3127,0.67,0.7806,1.287,1.151,0.115,0.072,1.21,Frame_00465.bmp,d3_465.json
0.5628-0.1579-0.7785-0.8573-1.737,0.5628,0.1579,0.7785,0.8573,1.737,2.086,0.168,0.064,0.974,Frame_00466.bmp,d3_466.json
0.772-0.3469-0.25875-0.7767-1.66,0.772,0.3469,0.25875,0.7767,1.66,1.525,0.135,0.017,1.071,Frame_00467.bmp,d3_467.json
0.7128-0.3814-0.978-1.6867-1.632,0.7128,0.3814,0.978,1.6867,1.632,9.944,0.397,0.036,0.483,Frame_00468.bmp,d3_468.json
0.8448-0.1576-0.82575-1.1927-1.751,0.8448,0.1576,0.82575,1.1927,1.751,4.802,0.263,0.057,0.661,Frame_00469.bmp,d3_469.json
0.5336-0.1198-1.4435-1.1498-1.959,0.5336,0.1198,1.4435,1.1498,1.959,4.985,0.29,0.117,0.702,Frame_00470.bmp,d3_470.json
0.7828-0.2809-1.1005-1.1836-1.989,0.7828,0.2809,1.1005,1.1836,1.989,5.437,0.293,0.074,0.651,Frame_00471.bmp,d3_471.json
0.6608-0.3976-1.4365-1.8297-1.264,0.6608,0.3976,1.4365,1.8297,1.264,8.878,0.392,0.075,0.533,Frame_00472.bmp,d3_472.json
0.8364-0.1606-1.82325-1.7374-1.356,0.8364,0.1606,1.82325,1.7374,1.356,8.584,0.4,0.135,0.563,Frame_00473.bmp,d3_473.json
0.7392-0.1798-1.67275-1.857-1.461,0.7392,0.1798,1.67275,1.857,1.461,10.877,0.448,0.097,0.498,Frame_00474.bmp,d3_474.json
0.6356-0.1525-1.3805-1.0861-1.329,0.6356,0.1525,1.3805,1.0861,1.329,2.785,0.203,0.152,0.88,Frame_00475.bmp,d3_475.json
0.7648-0.2137-1.755-1.1043-1.203,0.7648,0.2137,1.755,1.1043,1.203,2.577,0.209,0.253,0.981,Frame_00476.bmp,d3_476.json
0.5364-0.2533-1.92125-0.9093-1.03,0.5364,0.2533,1.92125,0.9093,1.03,1.312,0.16,0.43,1.477,Frame_00477.bmp,d3_477.json
0.5304-0.2011-1.35775-0.7897-1.258,0.5304,0.2011,1.35775,0.7897,1.258,1.156,0.132,0.23,1.382,Frame_00478.bmp,d3_478.json
0.716-0.1777-1.2055-1.3435-1.791,0.716,0.1777,1.2055,1.3435,1.791,6.536,0.321,0.078,0.594,Frame_00479.bmp,d3_479.json
0.7636-0.1879-1.17925-0.7299-1.153,0.7636,0.1879,1.17925,0.7299,1.153,0.841,0.109,0.226,1.57,Frame_00480.bmp,d3_480.json
0.8272-0.1756-1.63425-1.8505-1.62,0.8272,0.1756,1.63425,1.8505,1.62,12.153,0.475,0.092,0.472,Frame_00481.bmp,d3_481.json
0.7124-0.3871-0.579-0.7546-1.327,0.7124,0.3871,0.579,0.7546,1.327,1.089,0.111,0.049,1.229,Frame_00482.bmp,d3_482.json
0.5088-0.1396-0.89225-1.5658-1.172,0.5088,0.1396,0.89225,1.5658,1.172,5.696,0.286,0.041,0.607,Frame_00483.bmp,d3_483.json
0.6316-0.1741-1.53975-1.6984-1.28,0.6316,0.1741,1.53975,1.6984,1.28,7.618,0.361,0.099,0.573,Frame_00484.bmp,d3_484.json
0.604-0.2896-1.55025-1.5216-1.92,0.604,0.2896,1.55025,1.5216,1.92,9.438,0.407,0.089,0.521,Frame_00485.bmp,d3_485.json
0.5316-0.2884-0.51425-1.3578-1.669,0.5316,0.2884,0.51425,1.3578,1.669,6.186,0.291,0.015,0.569,Frame_00486.bmp,d3_486.json
0.6472-0.3544-1.713-0.9041-1.384,0.6472,0.3544,1.713,0.9041,1.384,1.844,0.18,0.276,1.176,Frame_00487.bmp,d3_487.json
0.8352-0.3157-0.37075-1.402-1.498,0.8352,0.3157,0.37075,1.402,1.498,5.892,0.28,0.013,0.575,Frame_00488.bmp,d3_488.json
0.5476-0.1444-1.28425-1.6633-1.235,0.5476,0.1444,1.28425,1.6633,1.235,6.962,0.334,0.073,0.579,Frame_00489.bmp,d3_489.json
0.6628-0.3676-1.78825-1.1186-1.461,0.6628,0.3676,1.78825,1.1186,1.461,3.343,0.24,0.215,0.868,Frame_00490.bmp,d3_490.json
0.6648-0.2665-1.5835-1.6646-1.892,0.6648,0.2665,1.5835,1.6646,1.892,11.402,0.453,0.085,0.481,Frame_00491.bmp,d3_491.json
0.574-0.2527-0.52825-1.9545-1.541,0.574,0.2527,0.52825,1.9545,1.541,12.968,0.461,0.01,0.43,Frame_00492.bmp,d3_492.json
0.8612-0.3415-1.4435-1.1836-1.958,0.8612,0.3415,1.4435,1.1836,1.958,5.343,0.301,0.119,0.681,Frame_00493.bmp,d3_493.json
0.5692-0.1885-0.61575-1.0666-1.334,0.5692,0.1885,0.61575,1.0666,1.334,2.675,0.178,0.035,0.805,Frame_00494.bmp,d3_494.json
0.744-0.1531-0.59475-1.051-1.16,0.744,0.1531,0.59475,1.051,1.16,2.184,0.158,0.043,0.873,Frame_00495.bmp,d3_495.json
0.5444-0.1123-0.25175-1.2148-1.512,0.5444,0.1123,0.25175,1.2148,1.512,4.245,0.23,0.009,0.654,Frame_00496.bmp,d3_496.json
0.5748-0.3244-1.699-0.7572-1.257,0.5748,0.3244,1.699,0.7572,1.257,1.031,0.139,0.374,1.631,Frame_00497.bmp,d3_497.json
0.8252-0.1258-0.4145-1.0445-1.198,0.8252,0.1258,0.4145,1.0445,1.198,2.236,0.158,0.029,0.853,Frame_00498.bmp,d3_498.json
0.6316-0.268-0.432-1.9987-1.595,0.6316,0.268,0.432,1.9987,1.595,14.179,0.486,0.008,0.414,Frame_00499.bmp,d3_499.json
0.6252-0.2398-0.6315-1.7166-1.061,0.6252,0.2398,0.6315,1.7166,1.061,6.222,0.303,0.02,0.589,Frame_00500.bmp,d3_500.json
0.6156-0.3199-0.747-0.8547-1.585,0.6156,0.3199,0.747,0.8547,1.585,1.865,0.154,0.057,0.998,Frame_00501.bmp,d3_501.json
0.7676-0.3676-0.628-1.2161-1.027,0.7676,0.3676,0.628,1.2161,1.027,2.682,0.178,0.035,0.802,Frame_00502.bmp,d3_502.json
0.7792-0.3016-1.118-1.428-1.707,0.7792,0.3016,1.118,1.428,1.707,7.139,0.332,0.062,0.562,Frame_00503.bmp,d3_503.json
0.6416-0.1786-1.2825-1.1914-1.705,0.6416,0.1786,1.2825,1.1914,1.705,4.647,0.268,0.1,0.696,Frame_00504.bmp,d3_504.json
0.672-0.2284-0.9955-1.0107-1.913,0.672,0.2284,0.9955,1.0107,1.913,3.537,0.23,0.075,0.786,Frame_00505.bmp,d3_505.json
0.838-0.3382-0.36375-1.7868-1.433,0.838,0.3382,0.36375,1.7868,1.433,9.753,0.385,0.009,0.476,Frame_00506.bmp,d3_506.json
0.672-0.2284-0.9955-1.0107-1.913,0.672,0.2284,0.9955,1.0107,1.913,3.537,0.23,0.075,0.786,Frame_00507.bmp,d3_507.json
